category,scientific_name,common_names,conservation_status
Bird,Anas platyrhynchos,Mallard,Neutral
Bird,Anas rubripes,American Black Duck,Neutral
Bird,Aythya affinis,Lesser Scaup,Species of Concern
Bird,Aythya americana,Redhead,Neutral
Bird,Aythya collaris,Ring-Necked Duck,Neutral
Bird,Branta bernicla,Brant,Neutral
Bird,Branta canadensis,Canada Goose,Neutral
Bird,Bucephala albeola,Bufflehead,Neutral
Bird,Bucephala clangula,Common Goldeneye,Neutral
Bird,Chen caerulescens,Snow Goose,Neutral
Bird,Histrionicus histrionicus,Harlequin Duck,Neutral
Bird,Lophodytes cucullatus,Hooded Merganser,Neutral
Bird,Melanitta deglandi,White-Winged Scoter,Neutral
Bird,Melanitta fusca,White-Winged Scoter,Neutral
Bird,Melanitta nigra,Black Scoter,Neutral
Bird,Mergus merganser,Common Merganser,Neutral
Bird,Mergus serrator,Red-Breasted Merganser,Neutral
Bird,Oxyura jamaicensis,Ruddy Duck,Neutral
Bird,Chaetura pelagica,Chimney Swift,Neutral
Bird,Archilochus colubris,Ruby-Throated Hummingbird,Neutral
Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,Neutral
Bird,Caprimulgus vociferus,Whip-Poor-Will,Neutral
Bird,Chordeiles minor,Common Nighthawk,Neutral
Bird,Charadrius semipalmatus,Semipalmated Plover,Neutral
Bird,Charadrius vociferus,Killdeer,Neutral
Bird,Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",Neutral
Bird,Chlidonias niger,Black Tern,Species of Concern
Bird,Larus argentatis,Herring Gull,Neutral
Bird,Larus atricilla,Laughing Gull,Species of Concern
Bird,Larus delawarensis,Ring-Billed Gull,Neutral
Bird,Larus philadelphia,Bonaparte's Gull,Neutral
Bird,Sterna fuscata,Sooty Tern,Neutral
Bird,Actitis macularia,Spotted Sandpiper,Neutral
Bird,Calidris minutilla,Least Sandpiper,Neutral
Bird,Calidris pusilla,Semipalmated Sandpiper,Neutral
Bird,Catoptrophorus semipalmatus,Willet,Neutral
Bird,Gallinago gallinago,Common Snipe,Neutral
Bird,Limnodromus griseus,Short-Billed Dowitcher,Neutral
Bird,Phalaropus fulicarius,Red Phalarope,Neutral
Bird,Phalaropus lobatus,Red-Necked Phalarope,Neutral
Bird,Philomachus pugnax,Ruff,Neutral
Bird,Scolopax minor,American Woodcock,Neutral
Bird,Tringa flavipes,Lesser Yellowlegs,Neutral
Bird,Tringa melanoleuca,Greater Yellowlegs,Neutral
Bird,Tringa solitaria,Solitary Sandpiper,Neutral
Bird,Columba livia,Rock Dove,Neutral
Bird,Ectopistes migratorius,Passenger Pigeon,Neutral
Bird,Zenaida macroura,Mourning Dove,Neutral
Bird,Ceryle alcyon,Belted Kingfisher,Neutral
Bird,Ceryle torquata,Ringed Kingfisher,Neutral
Bird,Coccyzus americanus,Yellow-Billed Cuckoo,Neutral
Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern
Bird,Falco columbarius,Merlin,Species of Concern
Bird,Falco peregrinus,Peregrine Falcon,Species of Concern
Bird,Falco sparverius,American Kestrel,Neutral
Bird,Colinus virginianus,Northern Bobwhite,Neutral
Bird,Alectoris chukar,Chukar,Neutral
Bird,Bonasa umbellus,Ruffed Grouse,Neutral
Bird,Meleagris gallopavo,Wild Turkey,Neutral
Bird,Pavo cristatus,Peacock,Neutral
Bird,Phasianus colchicus,"Common Pheasant, Ring-Necked Pheasant",Neutral
Bird,Gavia immer,Common Loon,Species of Concern
Bird,Grus americana,Whooping Crane,Endangered
Bird,Grus canadensis,Sandhill Crane,Neutral
Bird,Fulica americana,American Coot,Neutral
Bird,Gallinula chloropus,Common Moorhen,Neutral
Bird,Porzana carolina,Sora,Neutral
Bird,Rallus elegans,King Rail,Species of Concern
Bird,Rallus limicola,Virginia Rail,Neutral
Bird,Eremophila alpestris,Horned Lark,Neutral
Bird,Bombycilla cedrorum,Cedar Waxwing,Neutral
Bird,Calcarius ornatus,Chestnut-Collared Longspur,Neutral
Bird,Plectrophenax nivalis,Snow Bunting,Neutral
Bird,Cardinalis cardinalis,Northern Cardinal,Neutral
Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern
Bird,Passerina cyanea,Indigo Bunting,Neutral
Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,Neutral
Bird,Piranga olivacea,Scarlet Tanager,Neutral
Bird,Piranga rubra,Summer Tanager,Species of Concern
Bird,Spiza americana,Dickcissel,Neutral
Bird,Certhia americana,Brown Creeper,Species of Concern
Bird,Certhia familiaris,Eurasian Treecreeper,Neutral
Bird,Corvus brachyrhynchos,American Crow,Neutral
Bird,Corvus corax,Common Raven,Neutral
Bird,Cyanocitta cristata,Blue Jay,Neutral
Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern
Bird,Ammodramus henslowii,Henslow's Sparrow,Neutral
Bird,Ammodramus leconteii,Le Conte's Sparrow,Neutral
Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern
Bird,Chondestes grammacus,Lark Sparrow,Neutral
Bird,Junco hyemalis,Dark-Eyed Junco,Neutral
Bird,Melospiza georgiana,Swamp Sparrow,Neutral
Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern
Bird,Melospiza melodia,Song Sparrow,Neutral
Bird,Passerculus sandwichensis,Savannah Sparrow,Neutral
Bird,Passerella iliaca,Fox Sparrow,Neutral
Bird,Pipilo erythrophthalmus,"Rufous-Sided Towhee, Eastern Towhee",Neutral
Bird,Pooecetes gramineus,Vesper Sparrow,Neutral
Bird,Spizella arborea,American Tree Sparrow,Neutral
Bird,Spizella passerina,Chipping Sparrow,Neutral
Bird,Spizella pusilla,Field Sparrow,Neutral
Bird,Zonotrichia albicollis,White-Throated Sparrow,Neutral
Bird,Zonotrichia atricapilla,Golden-Crowned Sparrow,Neutral
Bird,Zonotrichia leucophrys,White-Crowned Sparrow,Neutral
Bird,Carduelis flammea,Common Redpoll,Neutral
Bird,Carduelis pinus,Pine Siskin,Neutral
Bird,Carduelis tristis,American Goldfinch,Neutral
Bird,Carpodacus mexicanus,House Finch,Neutral
Bird,Carpodacus purpureus,Purple Finch,Neutral
Bird,Coccothraustes vespertinus,Evening Grosbeak,Neutral
Bird,Loxia curvirostra,Red Crossbill,Species of Concern
Bird,Loxia leucoptera,White-Winged Crossbill,Neutral
Bird,Hirundo rustica,Barn Swallow,Neutral
Bird,Petrochelidon pyrrhonota,Cliff Swallow,Neutral
Bird,Progne subis,Purple Martin,Species of Concern
Bird,Riparia riparia,Bank Swallow,Species of Concern
Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,Neutral
Bird,Tachycineta bicolor,Tree Swallow,Species of Concern
Bird,Agelaius phoeniceus,Red-Winged Blackbird,Neutral
Bird,Dolichonyx oryzivorus,Bobolink,Neutral
Bird,Euphagus carolinus,Rusty Blackbird,Neutral
Bird,Icterus galbula,"Northern Oriole, Baltimore Oriole",Neutral
Bird,Icterus spurius,Orchard Oriole,Neutral
Bird,Molothrus ater,Brown-Headed Cowbird,Neutral
Bird,Quiscalus quiscula,Common Grackle,Neutral
Bird,Sturnella magna,Eastern Meadowlark,Neutral
Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,Neutral
Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern
Bird,Dumetella carolinensis,Gray Catbird,Neutral
Bird,Mimus polyglottos,"Mockingbird, Northern Mockingbird",Neutral
Bird,Toxostoma rufum,Brown Thrasher,Neutral
Bird,Anthus rubescens,Water Pipit,Neutral
Bird,Anthus spinoletta,Water Pipit,Neutral
Bird,Baeolophus bicolor,Tufted Titmouse,Neutral
Bird,Poecile atricapillus,Black-Capped Chickadee,Neutral
Bird,Poecile carolinensis,Carolina Chickadee,Neutral
Bird,Dendroica caerulescens,Black-Throated Blue Warbler,Neutral
Bird,Dendroica castanea,Bay-Breasted Warbler,Neutral
Bird,Dendroica cerulea,Cerulean Warbler,Neutral
Bird,Dendroica coronata,Yellow-Rumped Warbler,Neutral
Bird,Dendroica discolor,Prairie Warbler,Neutral
Bird,Dendroica dominica,Yellow-Throated Warbler,Neutral
Bird,Dendroica fusca,Blackburnian Warbler,Neutral
Bird,Dendroica magnolia,Magnolia Warbler,Neutral
Bird,Dendroica palmarum,Palm Warbler,Neutral
Bird,Dendroica pensylvanica,Chestnut-Sided Warbler,Neutral
Bird,Dendroica petechia,Yellow Warbler,Neutral
Bird,Dendroica pinus,Pine Warbler,Neutral
Bird,Dendroica striata,Blackpoll Warbler,Neutral
Bird,Dendroica tigrina,Cape May Warbler,Neutral
Bird,Dendroica virens,Black-Throated Green Warbler,Neutral
Bird,Geothlypis trichas,Common Yellowthroat,Neutral
Bird,Helmitheros vermivorus,Worm-Eating Warbler,Neutral
Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern
Bird,Limnothlypis swainsonii,Swainson's Warbler,Neutral
Bird,Mniotilta varia,Black-And-White Warbler,Neutral
Bird,Oporornis agilis,Connecticut Warbler,Neutral
Bird,Oporornis formosus,Kentucky Warbler,Neutral
Bird,Oporornis philadelphia,Mourning Warbler,Neutral
Bird,Parula americana,Northern Parula,Neutral
Bird,Protonotaria citrea,Prothonotary Warbler,Neutral
Bird,Seiurus aurocapilla,Ovenbird,Neutral
Bird,Seiurus motacilla,Louisiana Waterthrush,Neutral
Bird,Seiurus noveboracensis,Northern Waterthrush,Neutral
Bird,Setophaga ruticilla,American Redstart,Neutral
Bird,Vermivora bachmanii,"Bachman's Wood Warbler, Bachman's Warbler",Endangered
Bird,Vermivora celata,Orange-Crowned Warbler,Neutral
Bird,Vermivora chrysoptera X pinus,Brewster's Warbler,Neutral
Bird,Vermivora lawrencei,Lawrence's Warbler,Neutral
Bird,Vermivora lawrencii,Lawrence's Warbler,Neutral
Bird,Vermivora leucobronchialis,Brewster's Warbler,Neutral
Bird,Vermivora peregrina,Tennessee Warbler,Neutral
Bird,Vermivora pinus,Blue-Winged Warbler,Neutral
Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern
Bird,Wilsonia canadensis,Canada Warbler,Neutral
Bird,Wilsonia citrina,Hooded Warbler,Neutral
Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern
Bird,Passer domesticus,House Sparrow,Neutral
Bird,Polioptila caerulea,Blue-Gray Gnatcatcher,Neutral
Bird,Regulus calendula,Ruby-Crowned Kinglet,Neutral
Bird,Regulus satrapa,Golden-Crowned Kinglet,Neutral
Bird,Sitta canadensis,Red-Breasted Nuthatch,Neutral
Bird,Sitta carolinensis,White-Breasted Nuthatch,Neutral
Bird,Sturnus vulgaris,European Starling,Neutral
Bird,Cistothorus palustris,Marsh Wren,Neutral
Bird,Cistothorus platensis,Sedge Wren,Neutral
Bird,Thryomanes bewickii,Bewick's Wren,Neutral
Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern
Bird,Thryothorus ludovicianus,Carolina Wren,Neutral
Bird,Troglodytes aedon,House Wren,Neutral
Bird,Troglodytes troglodytes,Winter Wren,Neutral
Bird,Catharus fuscescens,Veery,Neutral
Bird,Catharus guttatus,Hermit Thrush,Neutral
Bird,Catharus minimus,Gray-Cheeked Thrush,Neutral
Bird,Catharus ustulatus,Swainson's Thrush,Neutral
Bird,Hylocichla mustelina,Wood Thrush,Neutral
Bird,Sialia sialis,Eastern Bluebird,Neutral
Bird,Turdus migratorius,American Robin,Neutral
Bird,Contopus borealis,Olive-Sided Flycatcher,Neutral
Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern
Bird,Contopus virens,Eastern Wood-Pewee,Neutral
Bird,Empidonax alnorum,Alder Flycatcher,Neutral
Bird,Empidonax flaviventris,Yellow-Bellied Flycatcher,Neutral
Bird,Empidonax minimus,Least Flycatcher,Neutral
Bird,Empidonax traillii,Willow Flycatcher,Species of Concern
Bird,Empidonax virescens,Acadian Flycatcher,Neutral
Bird,Myiarchus crinitus,Great Crested Flycatcher,Neutral
Bird,Sayornis phoebe,Eastern Phoebe,Neutral
Bird,Tyrannus forficata,Scissor-Tailed Flycatcher,Neutral
Bird,Tyrannus forficatus,Scissor-Tailed Flycatcher,Neutral
Bird,Tyrannus tyrannus,Eastern Kingbird,Neutral
Bird,Tyrannus verticalis,Western Kingbird,Neutral
Bird,Vireo flavifrons,Yellow-Throated Vireo,Neutral
Bird,Vireo gilvus,Warbling Vireo,Neutral
Bird,Vireo griseus,White-Eyed Vireo,Neutral
Bird,Vireo olivaceus,Red-Eyed Vireo,Neutral
Bird,Vireo philadelphicus,Philadelphia Vireo,Neutral
Bird,Vireo solitarius,"Blue-Headed Vireo, Solitary Vireo",Neutral
Bird,Ardea alba,Great Egret,Neutral
Bird,Ardea albus,Great Egret,Neutral
Bird,Ardea herodias,Great Blue Heron,Species of Concern
Bird,Botaurus lentiginosus,American Bittern,Species of Concern
Bird,Butorides virescens,Green-Backed Heron,Neutral
Bird,Egretta caerulea,Little Blue Heron,Neutral
Bird,Ixobrychus exilis,Least Bittern,Neutral
Bird,Nyctanassa violacea,Yellow-Crowned Night-Heron,Neutral
Bird,Nycticorax nycticorax,Black-Crowned Night-Heron,Species of Concern
Bird,Pelecanus erythrorhynchos,American White Pelican,Species of Concern
Bird,Colaptes auratus,Northern Flicker,Neutral
Bird,Dryocopus pileatus,Pileated Woodpecker,Species of Concern
Bird,Melanerpes carolinus,Red-Bellied Woodpecker,Neutral
Bird,Melanerpes erythrocephalus,Red-Headed Woodpecker,Neutral
Bird,Picoides borealis,Red-Cockaded Woodpecker,Endangered
Bird,Picoides pubescens,Downy Woodpecker,Species of Concern
Bird,Picoides villosus,Hairy Woodpecker,Neutral
Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,Species of Concern
Bird,Podiceps auritus,Horned Grebe,Neutral
Bird,Podilymbus podiceps,Pied-Billed Grebe,Neutral
Bird,Oceanodroma castro,Band-Rumped Storm-Petrel,Neutral
Bird,Aegolius,Saw-Whet Owls,Neutral
Bird,Aegolius acadicus,Northern Saw-Whet Owl,Neutral
Bird,Asio flammeus,Short-Eared Owl,Species of Concern
Bird,Asio otus,Long-Eared Owl,Species of Concern
Bird,Bubo virginianus,Great Horned Owl,Neutral
Bird,Megascops asio,"Eastern Screech Owl, Eastern Screech-Owl",Neutral
Bird,Otus asio,Eastern Screech-Owl,Neutral
Bird,Strix varia,Barred Owl,Neutral
Bird,Tyto alba,"Barn Owl, Common Barn-Owl",Neutral
Bird,Tytonidae,Barn-Owls,Neutral
Bird,Phalacrocorax auritus,Double-Crested Cormorant,Species of Concern
Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,Neutral
Reptile,Carphophis,"Worm Snakes, Wormsnakes",Neutral
Reptile,Carphophis amoenus amoenus,Eastern Worm Snake,Neutral
Reptile,Carphophis amoenus helenae,Midwest Worm Snake,Neutral
Reptile,Cemophora coccinea copei,Northern Scarlet Snake,Neutral
Reptile,Coluber constrictor constrictor,Northern Black Racer,Neutral
Reptile,Diadophis punctatus edwardsii,Northern Ringneck Snake,Neutral
Reptile,Elaphe guttata guttata,Corn Snake,Neutral
Reptile,Elaphe obsoleta obsoleta,Black Rat Snake,Neutral
Reptile,Heterodon platirhinos,Eastern Hognose Snake,Neutral
Reptile,Lampropeltis,"Milk Snakes, Kingsnakes",Neutral
Reptile,Lampropeltis calligaster rhombomaculata,Mole Kingsnake,Neutral
Reptile,Lampropeltis getula getula,Eastern Kingsnake,Neutral
Reptile,Lampropeltis getula nigra,Black Kingsnake,Neutral
Reptile,Lampropeltis triangulum elapsoides,Scarlet Kingsnake,Neutral
Reptile,Lampropeltis triangulum triangulum,Eastern Milk Snake,Neutral
Reptile,Nerodia erythrogaster,Plainbelly Water Snake,Neutral
Reptile,Nerodia erythrogaster flavigaster,"Yellowbelly Watersnake, Yellowbelly Water Snake",Neutral
Reptile,Nerodia sipedon sipedon,Northern Water Snake,Neutral
Reptile,Opheodrys aestivus aestivus,Eastern Rough Green Snake,Neutral
Reptile,Pituophis melanoleucus melanoleucus,Northern Pine Snake,Species of Concern
Reptile,Regina septemvittata,Queen Snake,Species of Concern
Reptile,Storeria dekayi dekayi,Northern Brown Snake,Neutral
Reptile,Storeria dekayi wrightorum,Midland Brown Snake,Neutral
Reptile,Storeria occipitomaculata occipitomaculata,Northern Redbelly Snake,Neutral
Reptile,Tantilla coronata,Southeastern Crowned Snake,Neutral
Reptile,Thamnophis sirtalis sirtalis,Common Garter Snake,Neutral
Reptile,Virginia valeriae valeriae,Eastern Earth Snake,Neutral
Reptile,Anolis carolinensis carolinensis,Northern Green Anole,Neutral
Reptile,Sceloporus undulatus hyacinthinus,Northern Fence Lizard,Neutral
Reptile,Eumeces anthracinus,Coal Skink,Neutral
Reptile,Eumeces fasciatus,Five-Lined Skink,Neutral
Reptile,Eumeces inexpectatus,Southeastern Five-Lined Skink,Neutral
Reptile,Eumeces laticeps,Broadhead Skink,Neutral
Reptile,Scincella lateralis,Ground Skink,Neutral
Reptile,Cnemidophorus sexlineatus sexlineatus,Eastern Six-Lined Racerunner,Neutral
Reptile,Agkistrodon contortrix mokasen,Northern Copperhead,Neutral
Reptile,Crotalus horridus,Timber Rattlesnake,Neutral
Reptile,Chelydra serpentina serpentina,Common Snapping Turtle,Neutral
Reptile,Chrysemys picta marginata,Midland Painted Turtle,Neutral
Reptile,Chrysemys picta picta,Eastern Painted Turtle,Neutral
Reptile,Clemmys muhlenbergii,Bog Turtle,Neutral
Reptile,Graptemys geographica,"Map Turtle, Common Map Turtle",Neutral
Reptile,Graptemys ouachitensis,Ouachita Map Turtle,Neutral
Reptile,Terrapene carolina carolina,Eastern Box Turtle,Neutral
Reptile,Trachemys scripta,Slider,Neutral
Reptile,Trachemys scripta troostii,Cumberland Slider,Neutral
Reptile,Sternotherus minor peltifer,"Stripeneck Musk Turtle, Stripe-Necked Musk Turtle",Neutral
Reptile,Sternotherus odoratus,Common Musk Turtle,Neutral
Reptile,Apalone spinifera spinifera,"Northern Spiny Softshell Turtle, Eastern Spiny Softshell",Neutral
Amphibian,Bufo americanus americanus,Eastern American Toad,Neutral
Amphibian,Bufo fowleri,"Fowler's Toad, Woodhouse's Toad",Neutral
Amphibian,Acris crepitans crepitans,Northern Cricket Frog,Neutral
Amphibian,Hyla chrysoscelis,Cope's Gray Treefrog,Neutral
Amphibian,Hyla versicolor,Gray Treefrog,Neutral
Amphibian,Pseudacris brachyphona,Mountain Chorus Frog,Neutral
Amphibian,Pseudacris crucifer crucifer,Northern Spring Peeper,Neutral
Amphibian,Pseudacris feriarum feriarum,Upland Chorus Frog,Neutral
Amphibian,Pseudacris triseriata,"Striped Chorus Frog, Western Chorus Frog",Neutral
Amphibian,Gastrophryne carolinensis,Eastern Narrow-Mouthed Toad,Neutral
Amphibian,Rana catesbeiana,American Bullfrog,Neutral
Amphibian,Rana clamitans melanota,Northern Green Frog,Neutral
Amphibian,Rana palustris,Pickerel Frog,Neutral
Amphibian,Rana pipiens,Northern Leopard Frog,Neutral
Amphibian,Rana sphenocephala,Southern Leopard Frog,Neutral
Amphibian,Rana sylvatica,Wood Frog,Neutral
Amphibian,Scaphiopus holbrookii holbrookii,Eastern Spadefoot,Neutral
Amphibian,Ambystoma maculatum,Spotted Salamander,Neutral
Amphibian,Ambystoma opacum,Marbled Salamander,Neutral
Amphibian,Ambystoma talpoideum,Mole Salamander,Neutral
Amphibian,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,Species of Concern
Amphibian,Desmognathus conanti,Spotted Dusky Salamander,Neutral
Amphibian,Desmognathus imitator,Imitator Salamander,Neutral
Amphibian,Desmognathus marmoratus,Shovel-Nosed Salamander,Neutral
Amphibian,Desmognathus monticola,Seal Salamander,Neutral
Amphibian,Desmognathus ocoee,Ocoee Salamander,Neutral
Amphibian,Desmognathus quadramaculatus,Black-Bellied Salamander,Neutral
Amphibian,Desmognathus santeetlah,"Yellow Dusky Salamander, Santleetlah Dusky Salamander, Santeetlah Dusky Salamander",Neutral
Amphibian,Desmognathus wrighti,Pigmy Salamander,Species of Concern
Amphibian,Eurycea,Brook Salamanders,Neutral
Amphibian,Eurycea bislineata,"Two-Lined Salamander, Northern Two-Lined Salamander",Neutral
Amphibian,Eurycea cirrigera,Southern Two-Lined Salamander,Neutral
Amphibian,Eurycea guttolineata,Three-Lined Salamander,Neutral
Amphibian,Eurycea junaluska,Junaluska Salamander,Neutral
Amphibian,Eurycea longicauda longicauda,Longtail Salamander,Neutral
Amphibian,Eurycea lucifuga,Cave Salamander,Neutral
Amphibian,Eurycea wilderae,Blue Ridge Two-Lined Salamander,Neutral
Amphibian,Gyrinophilus porphyriticus,Spring Salamander,Neutral
